geohash,geography,overlap_fraction
c8k6,Rest of US,1.0
9y38,Rest of US,1.0
c8rp,Rest of US,1.0
c8h6,Rest of US,1.0
zcnz,Rest of US,0.13428360299150222
c8de,Rest of US,1.0
9v29,Rest of US,1.0
9wh1,Rest of US,1.0
dq1n,Rest of US,1.0
9v13,Rest of US,1.0
9y05,Rest of US,1.0
c2p6,Rest of US,1.0
9wf4,Rest of US,1.0
9y7c,Rest of US,1.0
bg21,Rest of US,1.0
benp,Rest of US,1.0
9ts7,Rest of US,0.25836599614611877
9w0d,Rest of US,1.0
betx,Rest of US,1.0
9z3e,Rest of US,1.0
bkmj,Rest of US,1.0
c8j1,Rest of US,1.0
9y56,Rest of US,1.0
c1gk,Rest of US,0.8726534237548909
9z1e,Rest of US,1.0
cb25,Rest of US,1.0
dn4d,Rest of US,1.0
b7pq,Rest of US,1.0
9r4j,Rest of California,1.0
9v6v,Rest of US,1.0
9x7q,Rest of US,1.0
9ymy,Rest of US,1.0
9vmn,Rest of US,1.0
9qnw,Rest of US,0.9816018157424241
9qnw,Rest of California,0.018398184257575886
drgt,Rest of US,1.0
9v2f,Rest of US,1.0
dhw5,Rest of US,0.9940247309988206
bezb,Rest of US,1.0
9rbe,Rest of US,1.0
9ypy,Rest of US,1.0
9zd3,Rest of US,1.0
9zgc,Rest of US,1.0
9ytz,Rest of US,1.0
dpm0,Rest of US,1.0
dxbq,Rest of US,0.20998957582540825
be6d,Rest of US,1.0
dpqy,Rest of US,0.9776621499823152
f02d,Rest of US,0.9560083630948656
dnpn,Rest of US,1.0
beyx,Rest of US,1.0
dpu4,Rest of US,1.0
de0w,Rest of US,0.7088027668827168
9znd,Rest of US,1.0
cbkv,Rest of US,1.0
c8mq,Rest of US,1.0
9ppw,Rest of California,0.7788522429673537
dn60,Rest of US,1.0
c2rg,Rest of US,1.0
dp8b,Rest of US,1.0
9qz8,Rest of US,1.0
9x6d,Rest of US,1.0
b6v0,Rest of US,1.0
9q6w,Rest of California,1.0
9mvt,Rest of California,1.0
bgd2,Rest of US,1.0
9tqe,Rest of US,1.0
dpp6,Rest of US,1.0
b7m8,Rest of US,1.0
9x1j,Rest of US,1.0
c0xc,Rest of US,0.981251312875657
f079,Rest of US,0.1562997420071982
9vmy,Rest of US,1.0
9r15,Rest of California,1.0
9vet,Rest of US,1.0
9rcp,Rest of US,1.0
be59,Rest of US,1.0
c8jv,Rest of US,1.0
9y9c,Rest of US,1.0
9v61,Rest of US,1.0
c443,Rest of US,0.9731834483396793
9mvy,Rest of California,1.0
bkm9,Rest of US,1.0
9xgx,Rest of US,1.0
bkjc,Rest of US,1.0
bu3g,Rest of US,1.0
9ryv,Rest of US,1.0
c840,Rest of US,1.0
9vrx,Rest of US,1.0
9vxp,Rest of US,1.0
9whz,Rest of US,1.0
dr82,Rest of US,1.0
bezr,Rest of US,1.0
dj8m,Rest of US,1.0
9wgx,Rest of US,1.0
dnwr,Rest of US,1.0
b4tr,Rest of US,0.27906783988510375
c25s,Rest of US,1.0
bezm,Rest of US,1.0
9yht,Rest of US,1.0
dnb0,Rest of US,1.0
9zk4,Rest of US,1.0
9twz,Rest of US,1.0
b7tq,Rest of US,1.0
c84c,Rest of US,1.0
9rs8,Rest of US,1.0
c2st,Rest of US,1.0
cbs5,Rest of US,1.0
bg2b,Rest of US,1.0
b168,Rest of US,0.08356370271652655
dr00,Rest of US,1.0
dn1d,Rest of US,1.0
