FID,BID,Lease,Own,Unknown
1,Downtown,41.497519170049614,16.599007668019848,41.903473161930535
2,Chinatown,41.92185850052798,16.156282998944032,41.92185850052798
3,Lake Merritt,39.20679886685552,18.526912181303118,42.26628895184136
4,Koreatown/Northgate,21.906693711967545,11.359026369168356,66.7342799188641
5,Montclair,25.301204819277107,18.072289156626507,56.626506024096386
6,Rockridge,32.80898876404494,14.831460674157304,52.359550561797754
7,Temescal/Telegraph,24.52937820878494,10.838562464346834,64.63205932686823
8,Fruitvale,23.835125448028673,10.57347670250896,65.59139784946237
9,Lakeshore,59.02777777777778,17.36111111111111,23.61111111111111
10,Jack London,42.7536231884058,14.61352657004831,42.632850241545896
11,Laurel,33.333333333333336,26.229508196721312,40.43715846994535
